Year,DS_Dur_WS,DS_Tim,DS_Mag_50,DS_Mag_90,FA_Dur,FA_Mag,FA_Tim,SP_ROC,SP_Dur,SP_Mag,SP_Tim,Wet_BFL_Dur,Wet_BFL_Mag_10,Wet_BFL_Mag_50,Wet_Tim,Peak_Tim_10,Peak_Tim_2,Peak_Tim_5,Peak_Dur_10,Peak_Dur_2,Peak_Dur_5,Peak_10,Peak_2,Peak_5,Peak_Fre_10,Peak_Fre_2,Peak_Fre_5
1998,238,319,5.7,10,NA,NA,NA,0.05633802816901401,61,89,258,62,21.700000000000003,54,196,NA,236,NA,NA,32,NA,254,59.5,170.60000000000002,NA,3,NA
1999,225,301,4.5,7.2,4,17.881793377067666,53,0.04733893557422971,61,169,240,49,14.600000000000001,55,191,NA,217,NA,NA,32,NA,254,59.5,170.60000000000002,NA,1,NA
2000,212,302,3.2,3.4,2,13.981818256166449,27,0.04324450677886857,62,44,240,80,9,31.5,160,NA,195,NA,NA,1,NA,254,59.5,170.60000000000002,NA,1,NA
2001,242,277,2.035,4.759,NA,NA,NA,0.04880952380952385,62,15,215,67,3.86,7.7,148,NA,NA,NA,NA,NA,NA,254,59.5,170.60000000000002,NA,NA,NA
2002,228,295,2.4,5.718000000000001,4,11.147187415879799,52,0.043126684636118635,73,25.7,222,69,5.266,17.5,153,NA,NA,NA,NA,NA,NA,254,59.5,170.60000000000002,NA,NA,NA
2003,222,298,2.41,3.6,4,17.948787037531613,38,0.05099702598605628,58,50.9,240,83,7.886,15.6,157,NA,NA,NA,NA,NA,NA,254,59.5,170.60000000000002,NA,NA,NA
2004,254,300,2.63,5.094,2,13.921268136438004,66,0.03738317757009333,86,25,214,60,5.92,17.700000000000003,154,NA,NA,NA,NA,NA,NA,254,59.5,170.60000000000002,NA,NA,NA
2005,139,302,2.33,3.4960000000000004,NA,NA,NA,0.04687500000000004,66,101,236,48,11.530000000000001,32.849999999999994,188,NA,227.5,230,NA,13,1,254,59.5,170.60000000000002,NA,2,1
2006,190,303,3.165,4.031000000000001,3,45.78058628426524,61,0.0447010104094817,70,117,233,158,6.909,18.1,75,91,147.5,91,1,40,1,254,59.5,170.60000000000002,1,4,1
2007,254,281,2.325,3.1960000000000015,2,8.281576797898369,44,0.03238390872100341,64,16.5,217,90,4.0169999999999995,10.05,127,NA,NA,NA,NA,NA,NA,254,59.5,170.60000000000002,NA,NA,NA
2008,211,296,2.02,2.64,NA,NA,NA,0.03498542274052481,62,25.4,234,65,5.93,13.8,169,NA,NA,NA,NA,NA,NA,254,59.5,170.60000000000002,NA,NA,NA
2009,237,290,1.97,2.9,8,7.76656029703948,32,0.04042724831255299,69,52,221,80,4.442,9.885000000000002,141,NA,216,NA,NA,1,NA,254,59.5,170.60000000000002,NA,1,NA
2010,231,312,4.03,7.52,3,7.192711090229988,12,0.04819277108433726,60,55,252,91,4.61,17.9,161,NA,NA,NA,NA,NA,NA,254,59.5,170.60000000000002,NA,NA,NA
2011,201,328,3.79,4.62,3,38.18332484246299,23,0.04779276040958279,66,109,262,85,16.34,53.8,177,NA,232,NA,NA,51,NA,254,59.5,170.60000000000002,NA,3,NA
2012,126,283,1.8050000000000002,2.5,NA,NA,NA,0.03786407766990296,66,40.9,217,54,6.839,10.2,163,NA,208,NA,NA,1,NA,254,59.5,170.60000000000002,NA,1,NA
2013,186,290,1.8,1.94,8,4.2750175555463406,31,0.03308080808080813,100,17.7,190,147,3.196,4.13,43,NA,62,NA,NA,1,NA,254,59.5,170.60000000000002,NA,1,NA
2014,135,272,1.25,1.6180000000000003,NA,NA,NA,0.03394957983193281,78,7.82,194,84,2.016,4.885,110,NA,NA,NA,NA,NA,NA,254,59.5,170.60000000000002,NA,NA,NA
2015,226,272,1.46,3.505,NA,NA,NA,0.04122255323844201,134,9.62,138,97,1.7,2.38,41,NA,NA,NA,NA,NA,NA,254,59.5,170.60000000000002,NA,NA,NA
2016,157,303,1.89,10.560000000000004,2,2.8712867660192556,32,0.04210526315789466,79,32.8,224,92,6.184,21.5,132,NA,NA,NA,NA,NA,NA,254,59.5,170.60000000000002,NA,NA,NA
2017,78,318,3.7350000000000003,4.743,4,13.268113394536666,15,0.04441776710684275,79,144,239,145,12.96,41.2,94,NA,159,115.5,NA,68,3,254,59.5,170.60000000000002,NA,8,2
2018,253,287,2.25,5.1480000000000015,NA,NA,NA,0.048204085584277356,90,42.9,197,167,3.996,5.59,30,NA,117,NA,NA,5,NA,254,59.5,170.60000000000002,NA,2,NA
2019,231,313,3.09,4.57,5,5.589551254813438,54,0.04274753282003871,61,71.6,252,78,8.809000000000001,52.45,174,NA,224.5,NA,NA,32,NA,254,59.5,170.60000000000002,NA,2,NA
2020,230,285,1.725,2.55,7,9.314922363487787,67,0.04162219850586967,69,33.5,216,38,4.788,12.7,178,NA,NA,NA,NA,NA,NA,254,59.5,170.60000000000002,NA,NA,NA
2021,105,276,1.18,1.416,7,3.6394036611118716,48,0.04094827586206886,60,9.89,216,67,2.71,6.55,149,NA,NA,NA,NA,NA,NA,254,59.5,170.60000000000002,NA,NA,NA
2022,256,304,2.01,7.734999999999999,NA,NA,NA,0.03846153846153844,83,31.4,221,206,2.785,4.1850000000000005,15,NA,NA,NA,NA,NA,NA,254,59.5,170.60000000000002,NA,NA,NA
2023,254,306,3.085,7.773000000000003,NA,NA,NA,0.05583756345177659,67,162,239,45,24.84,66.3,194,NA,215,231,NA,46,4,254,59.5,170.60000000000002,NA,2,1
