Year,DS_Dur_WS,DS_Tim,DS_Mag_50,DS_Mag_90,FA_Dur,FA_Mag,FA_Tim,FA_Dif_num,SP_ROC,SP_ROC_Max,SP_Dur,SP_Mag,SP_Tim,Wet_BFL_Dur,Wet_BFL_Mag_10,Wet_BFL_Mag_50,Wet_Tim,Peak_Tim_10,Peak_Tim_2,Peak_Tim_5,Peak_Dur_10,Peak_Dur_2,Peak_Dur_5,Peak_10,Peak_2,Peak_5,Peak_Fre_10,Peak_Fre_2,Peak_Fre_5,Mean_Ann_Flow,WY_Cat
2009,NA,198,NA,NA,NA,NA,NA,NA,NA,NA,0,0.11,198,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2800,205,1652,NA,NA,NA,0.0637808219178082,dry year
2010,NA,227,NA,NA,NA,NA,NA,NA,0.09090909090909087,0.5,33,0.52,194,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2800,205,1652,NA,NA,NA,0.07539726027397264,dry year
2011,245,230,0.04,0.07500000000000001,NA,NA,NA,0,0.11215117711229194,0.2798833819241982,35,219,195,118,0.09,14.5,77,NA,176,NA,NA,24,NA,2800,205,1652,NA,1,NA,45.11778082191778,mod year
2012,112,330,0.62,1.2399999999999989,NA,NA,NA,0,0.023529411764705903,0.4153846153846154,32,0.85,298,188,0.03,0.58,110,NA,NA,NA,NA,NA,NA,2800,205,1652,NA,NA,NA,0.3587704918032791,dry year
2013,491,125,0.55,0.6790000000000004,NA,NA,NA,0,0.015129573170731707,0.8641114982578397,35,205,90,13,0.76,59.349999999999994,77,NA,90,NA,NA,1,NA,2800,205,1652,NA,1,NA,13.883068493150676,mod year
2014,152,289,0.55,0.6380000000000001,NA,NA,NA,0,NA,NA,0,0.69,289,38,0.5,0.52,251,NA,NA,NA,NA,NA,NA,2800,205,1652,NA,NA,NA,0.5567123287671233,dry year
2015,206,240,0.53,0.65,NA,NA,NA,0,NA,NA,0,0.82,240,164,0.46,0.54,76,NA,NA,NA,NA,NA,NA,2800,205,1652,NA,NA,NA,0.5705205479452056,dry year
2016,254,187,0.76,0.956,NA,NA,NA,0,0.36780130438667025,0.8741228070175439,10,396,177,96,0.69,0.97,81,NA,168,NA,NA,13,NA,2800,205,1652,NA,1,NA,21.476502732240444,mod year
2017,319,218,0.67,0.8510000000000002,NA,NA,NA,0,0.016786570743405275,0.8909999999999999,73,875,145,69,1.348,583,76,NA,110,NA,NA,78,NA,2800,205,1652,NA,2,NA,152.65076712328786,wet year
2018,109,332,0.5,0.5850000000000004,NA,NA,NA,0,NA,NA,0,1.4,332,160,0.53,0.6,172,NA,NA,NA,NA,NA,NA,2800,205,1652,NA,NA,NA,0.5779178082191782,dry year
2019,239,233,12.3,13.4,NA,NA,NA,0,0.18058747906034525,0.31802120141342755,5,28.3,228,152,0.43,13.5,76,NA,NA,NA,NA,NA,NA,2800,205,1652,NA,NA,NA,12.453972602739725,dry year
2020,257,226,7.635,10.980000000000008,NA,NA,NA,0,0.007999999999999972,0.19393939393939388,38,16.5,188,81,12.5,13.95,107,NA,NA,NA,NA,NA,NA,2800,205,1652,NA,NA,NA,9.451284153005464,dry year
2021,240,216,7.69,8.11,NA,NA,NA,0,0.00925925925925939,0.16976998904709753,80,11.8,136,18,11.7,11.8,118,NA,NA,NA,NA,NA,NA,2800,205,1652,NA,NA,NA,8.62517808219178,dry year
2022,239,215,7.72,7.92,NA,NA,NA,0,0.22712616110857314,0.24621212121212122,2,13.2,213,122,12.9,12.9,91,NA,NA,NA,NA,NA,NA,2800,205,1652,NA,NA,NA,9.25441095890411,dry year
2023,NA,192,13.2,13.2,NA,NA,NA,0,0.24892703862660948,0.33220338983050846,11,421,181,92,12.2,174,89,NA,100,NA,NA,40,NA,2800,205,1652,NA,6,NA,86.57816438356171,wet year
2024,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2800,205,1652,NA,NA,NA,7.6715625,dry year
